id,car_plate,customer_id,customer_gender,customer_age,time_beginning,time_end,lon_beginning,lat_beginning,lon_end,lat_end,time_park,area_id,area_name,fleet_id,time_beginning_formatted,time_end_formatted,time_beginning_hour,time_beginning_minute,time_beginning_second
54796,EF37695,6526,male,47,"2015-10-28 08:14:34+01","2015-10-28 08:35:57+01",112363,437755,112232,438004,0,1,"CENTRO STORICO",2,"2015-10-28 08:14:34","2015-10-28 08:35:57",8,14,28
54797,EF37617,6647,male,33,"2015-10-28 08:14:55+01","2015-10-28 08:20:00+01",112318,438050,112324,437951,0,5,RIFREDI,2,"2015-10-28 08:14:55","2015-10-28 08:20:00",8,14,28
54798,ED06246,1820,male,48,"2015-10-28 08:15:25+01","2015-10-28 08:25:25+01",92160,454751,92159,454751,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 08:15:25","2015-10-28 08:25:25",8,15,28
54799,DR53588,2167,male,20,"2015-10-28 08:17:02+01","2015-10-28 08:25:03+01",92262,454791,92344,454745,0,22,"CITTA' STUDI",1,"2015-10-28 08:17:02","2015-10-28 08:25:03",8,17,28
54800,DR53547,4880,female,33,"2015-10-28 08:17:15+01","2015-10-28 08:36:33+01",91595,454589,91933,454622,0,51,WASHINGTON,1,"2015-10-28 08:17:15","2015-10-28 08:36:33",8,17,28
54807,DR53598,2341,male,35,"2015-10-28 08:20:35+01","2015-10-28 08:31:44+01",92440,454355,92390,454594,0,33,ROGOREDO,1,"2015-10-28 08:20:35","2015-10-28 08:31:44",8,20,28
54811,ED06239,1654,female,53,"2015-10-28 08:26:10+01","2015-10-28 08:47:50+01",92401,454710,92075,454544,0,23,LAMBRATE,1,"2015-10-28 08:26:10","2015-10-28 08:47:50",8,26,28
54812,DR53584,13,male,42,"2015-10-28 08:26:18+01","2015-10-28 08:32:53+01",92111,454703,91975,454706,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 08:26:18","2015-10-28 08:32:53",8,26,28
54813,DR53522,7138,male,27,"2015-10-28 08:26:20+01","2015-10-28 08:45:05+01",92125,454562,91721,454548,0,26,"XXII MARZO",1,"2015-10-28 08:26:20","2015-10-28 08:45:05",8,26,28
54815,DD30918,6776,male,30,"2015-10-28 08:26:40+01","2015-10-28 09:02:27+01",91456,455136,90887,454573,0,76,"QUARTO OGGIARO",1,"2015-10-28 08:26:40","2015-10-28 09:02:27",8,26,28
54817,ED06246,1820,male,48,"2015-10-28 08:27:30+01","2015-10-28 08:37:30+01",92160,454751,92159,454751,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 08:27:30","2015-10-28 08:37:30",8,27,28
54818,EF37689,6362,male,51,"2015-10-28 08:28:23+01","2015-10-28 08:49:37+01",112758,437712,112360,437753,0,2,"CAMPO DI MARTE",2,"2015-10-28 08:28:23","2015-10-28 08:49:37",8,28,28
54820,ED79069,2497,male,38,"2015-10-28 08:29:06+01","2015-10-28 09:03:29+01",91114,454626,91726,454786,0,56,"FORZE ARMATE",1,"2015-10-28 08:29:06","2015-10-28 09:03:29",8,29,28
54823,DR53582,4896,female,40,"2015-10-28 08:30:45+01","2015-10-28 08:48:10+01",91934,454622,91651,454515,0,1,DUOMO,1,"2015-10-28 08:30:45","2015-10-28 08:48:10",8,30,28
54826,ED06271,4714,male,45,"2015-10-28 08:33:37+01","2015-10-28 08:55:13+01",91601,454685,91908,454624,0,68,PAGANO,1,"2015-10-28 08:33:37","2015-10-28 08:55:13",8,33,28
54827,ED79072,7037,female,30,"2015-10-28 08:35:55+01","2015-10-28 08:45:55+01",0,0,0,0,0,,,1,"2015-10-28 08:35:55","2015-10-28 08:45:55",8,35,28
54828,ED06246,1820,male,48,"2015-10-28 08:37:43+01","2015-10-28 08:52:49+01",92159,454751,92102,454526,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 08:37:43","2015-10-28 08:52:49",8,37,28
54829,ED06233,2065,male,31,"2015-10-28 08:40:12+01","2015-10-28 09:06:27+01",92042,454927,91622,455012,0,12,"MACIACHINI - MAGGIOLINA",1,"2015-10-28 08:40:12","2015-10-28 09:06:27",8,40,28
54830,ED06266,5409,male,51,"2015-10-28 08:42:42+01","2015-10-28 09:03:08+01",91601,454685,91844,454554,0,68,PAGANO,1,"2015-10-28 08:42:42","2015-10-28 09:03:08",8,42,28
54831,ED06256,7443,male,28,"2015-10-28 08:43:00+01","2015-10-28 08:53:50+01",91784,454678,91716,454776,0,1,DUOMO,1,"2015-10-28 08:43:00","2015-10-28 08:53:50",8,43,28
54832,DF48499,6303,male,23,"2015-10-28 08:44:24+01","2015-10-28 08:48:32+01",92047,454746,92047,454747,0,3,"GIARDINI PORTA VENEZIA",1,"2015-10-28 08:44:24","2015-10-28 08:48:32",8,44,28
54833,DR53589,6303,male,23,"2015-10-28 08:44:44+01","2015-10-28 08:54:44+01",92046,454746,92046,454746,0,3,"GIARDINI PORTA VENEZIA",1,"2015-10-28 08:44:44","2015-10-28 08:54:44",8,44,28
54834,ED06209,7155,female,25,"2015-10-28 08:46:57+01","2015-10-28 09:05:24+01",91785,454678,92054,454708,0,1,DUOMO,1,"2015-10-28 08:46:57","2015-10-28 09:05:24",8,46,28
54836,ED93294,5830,female,29,"2015-10-28 08:48:57+01","2015-10-28 09:00:39+01",91921,454706,91984,454623,0,2,BRERA,1,"2015-10-28 08:48:57","2015-10-28 09:00:39",8,48,28
54838,ED75487,6301,female,20,"2015-10-28 08:50:49+01","2015-10-28 09:05:25+01",92047,454747,91936,454621,0,3,"GIARDINI PORTA VENEZIA",1,"2015-10-28 08:50:49","2015-10-28 09:05:25",8,50,28
54841,ED06210,4669,male,55,"2015-10-28 08:59:56+01","2015-10-28 09:05:40+01",92175,454792,92175,454791,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 08:59:56","2015-10-28 09:05:40",8,59,28
54842,EF37626,7442,male,45,"2015-10-28 09:03:01+01","2015-10-28 09:37:04+01",112779,437850,112514,437728,131,2,"CAMPO DI MARTE",2,"2015-10-28 09:03:01","2015-10-28 09:37:04",9,3,28
54843,ED06295,6763,male,47,"2015-10-28 09:04:22+01","2015-10-28 09:15:24+01",92366,454790,92450,454700,0,22,"CITTA' STUDI",1,"2015-10-28 09:04:22","2015-10-28 09:15:24",9,4,28
54844,ED06206,6123,female,43,"2015-10-28 09:05:38+01","2015-10-28 10:06:46+01",91534,454484,91515,454516,125,49,GIAMBELLINO,1,"2015-10-28 09:05:38","2015-10-28 10:06:46",9,5,28
54845,XX00574,1131,male,28,"2015-10-28 09:05:46+01","2015-10-28 09:15:39+01",92047,454746,91895,454854,0,3,"GIARDINI PORTA VENEZIA",1,"2015-10-28 09:05:46","2015-10-28 09:15:39",9,5,28
54846,EF37650,6806,male,38,"2015-10-28 09:06:14+01","2015-10-28 09:36:08+01",112936,437589,112390,437746,0,3,"GAVINANA GALLUZZO",2,"2015-10-28 09:06:14","2015-10-28 09:36:08",9,6,28
54847,ED06223,1868,male,52,"2015-10-28 09:08:04+01","2015-10-28 09:42:58+01",91432,454906,91988,454710,0,71,VILLAPIZZONE,1,"2015-10-28 09:08:04","2015-10-28 09:42:58",9,8,28
54852,DR53580,805,male,41,"2015-10-28 09:22:41+01","2015-10-28 09:27:53+01",91542,454606,91592,454662,0,51,WASHINGTON,1,"2015-10-28 09:22:41","2015-10-28 09:27:53",9,22,28
54853,DR53522,353,male,29,"2015-10-28 09:24:27+01","2015-10-28 09:25:49+01",91721,454548,91722,454548,0,44,NAVIGLI,1,"2015-10-28 09:24:27","2015-10-28 09:25:49",9,24,28
54856,ED06256,538,male,42,"2015-10-28 09:29:53+01","2015-10-28 09:37:38+01",91715,454777,91595,454850,0,69,SARPI,1,"2015-10-28 09:29:53","2015-10-28 09:37:38",9,29,28
54857,ED06284,1649,female,53,"2015-10-28 09:30:07+01","2015-10-28 09:43:27+01",91700,454585,91494,454463,0,7,"MAGENTA - S. VITTORE",1,"2015-10-28 09:30:07","2015-10-28 09:43:27",9,30,28
54859,ED06213,4338,male,36,"2015-10-28 09:34:26+01","2015-10-28 09:38:29+01",91832,454409,91852,454472,0,43,TIBALDI,1,"2015-10-28 09:34:26","2015-10-28 09:38:29",9,34,28
54860,ED06259,4838,female,30,"2015-10-28 09:35:42+01","2015-10-28 10:07:08+01",91700,454691,92363,455132,0,7,"MAGENTA - S. VITTORE",1,"2015-10-28 09:35:42","2015-10-28 10:07:08",9,35,28
54862,ED06239,5874,male,28,"2015-10-28 09:40:59+01","2015-10-28 09:47:28+01",92076,454544,91869,454499,0,27,"PORTA ROMANA",1,"2015-10-28 09:40:59","2015-10-28 09:47:28",9,40,28
54865,ED06271,353,male,29,"2015-10-28 09:43:10+01","2015-10-28 10:06:37+01",91907,454626,92265,454643,0,1,DUOMO,1,"2015-10-28 09:43:10","2015-10-28 10:06:37",9,43,28
54866,ED06213,4338,male,36,"2015-10-28 09:43:14+01","2015-10-28 09:46:31+01",91789,454530,91684,454591,0,6,TICINESE,1,"2015-10-28 09:43:14","2015-10-28 09:46:31",9,43,28
54870,ED06213,4338,male,36,"2015-10-28 09:46:46+01","2015-10-28 09:49:37+01",91673,454598,91638,454635,0,7,"MAGENTA - S. VITTORE",1,"2015-10-28 09:46:46","2015-10-28 09:49:37",9,46,28
54871,ED06249,7209,male,18,"2015-10-28 09:47:38+01","2015-10-28 10:02:55+01",91601,454685,91379,454883,0,68,PAGANO,1,"2015-10-28 09:47:38","2015-10-28 10:02:55",9,47,28
54875,ED06213,4338,male,36,"2015-10-28 09:49:42+01","2015-10-28 09:53:14+01",91638,454635,91629,454646,0,51,WASHINGTON,1,"2015-10-28 09:49:42","2015-10-28 09:53:14",9,49,28
54876,ED06281,1305,male,54,"2015-10-28 09:52:39+01","2015-10-28 10:12:11+01",92177,454845,92130,454591,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 09:52:39","2015-10-28 10:12:11",9,52,28
54877,EF37672,6607,male,36,"2015-10-28 09:52:51+01","2015-10-28 10:26:10+01",112393,437608,112949,437764,0,1,"CENTRO STORICO",2,"2015-10-28 09:52:51","2015-10-28 10:26:10",9,52,28
54878,ED06256,538,male,42,"2015-10-28 09:53:06+01","2015-10-28 10:07:44+01",91593,454851,91739,454685,0,67,PORTELLO,1,"2015-10-28 09:53:06","2015-10-28 10:07:44",9,53,28
54879,DR53536,865,male,69,"2015-10-28 09:55:17+01","2015-10-28 10:13:01+01",92135,454830,92381,454918,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 09:55:17","2015-10-28 10:13:01",9,55,28
54883,EF37613,6703,female,52,"2015-10-28 10:02:01+01","2015-10-28 10:23:12+01",112700,437778,112579,437826,0,2,"CAMPO DI MARTE",2,"2015-10-28 10:02:01","2015-10-28 10:23:12",10,2,28
54890,ED06246,1820,male,48,"2015-10-28 10:14:46+01","2015-10-28 10:23:34+01",92103,454527,92101,454526,0,27,"PORTA ROMANA",1,"2015-10-28 10:14:46","2015-10-28 10:23:34",10,14,28
54893,EF03275,2259,male,47,"2015-10-28 10:18:46+01","2015-10-28 10:31:24+01",91960,454843,92077,454747,0,9,"GARIBALDI REPUBBLICA",1,"2015-10-28 10:18:46","2015-10-28 10:31:24",10,18,28
54894,ED06205,451,female,27,"2015-10-28 10:18:47+01","2015-10-28 10:41:37+01",91624,454618,91506,454943,0,51,WASHINGTON,1,"2015-10-28 10:18:47","2015-10-28 10:41:37",10,18,28
54895,ED06293,5661,male,46,"2015-10-28 10:23:42+01","2015-10-28 10:29:35+01",92142,454840,92106,454849,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 10:23:42","2015-10-28 10:29:35",10,23,28
54897,ED06246,1820,male,48,"2015-10-28 10:23:46+01","2015-10-28 10:46:37+01",92101,454526,91592,454410,0,27,"PORTA ROMANA",1,"2015-10-28 10:23:46","2015-10-28 10:46:37",10,23,28
54898,DR53572,1551,male,51,"2015-10-28 10:25:12+01","2015-10-28 10:44:26+01",92120,454953,91562,454965,0,10,CENTRALE,1,"2015-10-28 10:25:12","2015-10-28 10:44:26",10,25,28
54899,EF37662,7086,male,54,"2015-10-28 10:26:52+01","2015-10-28 10:50:28+01",112216,437939,111968,437806,0,5,RIFREDI,2,"2015-10-28 10:26:52","2015-10-28 10:50:28",10,26,28
54901,ED06293,5661,male,46,"2015-10-28 10:31:12+01","2015-10-28 10:34:18+01",92107,454850,92136,454830,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 10:31:12","2015-10-28 10:34:18",10,31,28
54903,EF03276,1953,female,46,"2015-10-28 10:32:36+01","2015-10-28 10:55:55+01",92049,454843,92312,454770,0,10,CENTRALE,1,"2015-10-28 10:32:36","2015-10-28 10:55:55",10,32,28
54904,DR53555,5557,male,53,"2015-10-28 10:36:47+01","2015-10-28 10:48:53+01",91882,454659,91678,454640,0,2,BRERA,1,"2015-10-28 10:36:47","2015-10-28 10:48:53",10,36,28
54905,EF37612,7241,female,76,"2015-10-28 10:39:53+01","2015-10-28 10:58:46+01",112430,437574,112642,437796,0,1,"CENTRO STORICO",2,"2015-10-28 10:39:53","2015-10-28 10:58:46",10,39,28
54909,ED06213,4338,male,36,"2015-10-28 10:47:48+01","2015-10-28 10:51:15+01",91630,454648,91717,454657,0,51,WASHINGTON,1,"2015-10-28 10:47:48","2015-10-28 10:51:15",10,47,28
54910,ED06249,5796,male,45,"2015-10-28 10:48:35+01","2015-10-28 11:02:40+01",91378,454883,91339,454948,0,66,"QT 8",1,"2015-10-28 10:48:35","2015-10-28 11:02:40",10,48,28
54913,ED06213,4338,male,36,"2015-10-28 10:51:22+01","2015-10-28 10:55:31+01",91717,454657,91803,454656,0,7,"MAGENTA - S. VITTORE",1,"2015-10-28 10:51:22","2015-10-28 10:55:31",10,51,28
54914,ED06283,1172,male,57,"2015-10-28 10:51:51+01","2015-10-28 11:01:41+01",92049,454843,92198,454824,0,10,CENTRALE,1,"2015-10-28 10:51:51","2015-10-28 11:01:41",10,51,28
54915,EF37617,7032,female,22,"2015-10-28 10:51:59+01","2015-10-28 11:37:04+01",112325,437951,112444,437929,0,5,RIFREDI,2,"2015-10-28 10:51:59","2015-10-28 11:37:04",10,51,28
54920,DR53536,4055,male,56,"2015-10-28 10:54:42+01","2015-10-28 11:07:58+01",92381,454918,92297,454687,0,18,"PARCO LAMBRO - CIMIANO",1,"2015-10-28 10:54:42","2015-10-28 11:07:58",10,54,28
54922,ED06213,4338,male,36,"2015-10-28 10:55:34+01","2015-10-28 10:58:13+01",91803,454656,91858,454656,0,1,DUOMO,1,"2015-10-28 10:55:34","2015-10-28 10:58:13",10,55,28
54924,ED06213,4338,male,36,"2015-10-28 10:58:17+01","2015-10-28 11:01:45+01",91858,454656,91885,454615,0,2,BRERA,1,"2015-10-28 10:58:17","2015-10-28 11:01:45",10,58,28
54926,ED06213,4338,male,36,"2015-10-28 11:01:48+01","2015-10-28 11:06:11+01",91885,454615,91935,454621,0,1,DUOMO,1,"2015-10-28 11:01:48","2015-10-28 11:06:11",11,1,28
54930,DR53579,4338,male,36,"2015-10-28 11:06:51+01","2015-10-28 11:10:59+01",91935,454621,91962,454630,0,1,DUOMO,1,"2015-10-28 11:06:51","2015-10-28 11:10:59",11,6,28
54932,DR53589,6277,male,44,"2015-10-28 11:08:47+01","2015-10-28 11:19:52+01",91922,454589,91999,454695,0,1,DUOMO,1,"2015-10-28 11:08:47","2015-10-28 11:19:52",11,8,28
54935,DR53579,4338,male,36,"2015-10-28 11:14:37+01","2015-10-28 11:16:14+01",92062,454622,92147,454622,0,4,GUASTALLA,1,"2015-10-28 11:14:37","2015-10-28 11:16:14",11,14,28
54940,DR53579,4338,male,36,"2015-10-28 11:20:24+01","2015-10-28 11:23:20+01",92147,454622,92145,454705,0,26,"XXII MARZO",1,"2015-10-28 11:20:24","2015-10-28 11:23:20",11,20,28
54942,ED06239,7109,male,28,"2015-10-28 11:22:04+01","2015-10-28 12:03:39+01",91871,454500,92013,454499,1047,5,VIGENTINA,1,"2015-10-28 11:22:04","2015-10-28 12:03:39",11,22,28
54944,DR53579,4338,male,36,"2015-10-28 11:23:23+01","2015-10-28 11:26:33+01",92145,454705,92147,454776,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 11:23:23","2015-10-28 11:26:33",11,23,28
54946,DR53579,4338,male,36,"2015-10-28 11:26:38+01","2015-10-28 11:26:55+01",92156,454783,92156,454783,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 11:26:38","2015-10-28 11:26:55",11,26,28
54949,ED93105,3315,male,25,"2015-10-28 11:26:48+01","2015-10-28 11:41:29+01",92266,454441,91962,454428,0,35,"LODI - CORVETTO",1,"2015-10-28 11:26:48","2015-10-28 11:41:29",11,26,28
54947,DR53579,4338,male,36,"2015-10-28 11:26:58+01","2015-10-28 11:29:20+01",92156,454784,92172,454744,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 11:26:58","2015-10-28 11:29:20",11,26,28
54951,EF03275,2259,male,47,"2015-10-28 11:27:51+01","2015-10-28 11:51:02+01",92076,454748,91966,454853,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 11:27:51","2015-10-28 11:51:02",11,27,28
54952,DR53579,4338,male,36,"2015-10-28 11:29:23+01","2015-10-28 11:31:05+01",92172,454744,92172,454717,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 11:29:23","2015-10-28 11:31:05",11,29,28
54954,DR53579,4338,male,36,"2015-10-28 11:31:12+01","2015-10-28 11:32:48+01",92172,454717,92172,454684,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 11:31:12","2015-10-28 11:32:48",11,31,28
54955,DR53536,4055,male,56,"2015-10-28 11:31:26+01","2015-10-28 11:44:02+01",92297,454688,92376,454927,0,22,"CITTA' STUDI",1,"2015-10-28 11:31:26","2015-10-28 11:44:02",11,31,28
54956,DR53579,4338,male,36,"2015-10-28 11:32:51+01","2015-10-28 11:35:00+01",92172,454684,92173,454638,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 11:32:51","2015-10-28 11:35:00",11,32,28
54957,ED06283,1172,male,57,"2015-10-28 11:34:10+01","2015-10-28 11:44:52+01",92201,454824,92071,454841,0,21,"BUENOS AIRES - VENEZIA",1,"2015-10-28 11:34:10","2015-10-28 11:44:52",11,34,28
54959,DR53579,4338,male,36,"2015-10-28 11:35:03+01","2015-10-28 11:38:49+01",92173,454638,92100,454502,0,26,"XXII MARZO",1,"2015-10-28 11:35:03","2015-10-28 11:38:49",11,35,28
54962,EF37653,7217,female,26,"2015-10-28 11:36:39+01","2015-10-28 11:45:59+01",112652,437872,112648,437730,0,2,"CAMPO DI MARTE",2,"2015-10-28 11:36:39","2015-10-28 11:45:59",11,36,28
54967,DR53579,4338,male,36,"2015-10-28 11:38:52+01","2015-10-28 11:41:15+01",92100,454502,92032,454515,0,27,"PORTA ROMANA",1,"2015-10-28 11:38:52","2015-10-28 11:41:15",11,38,28
54964,ED79069,7180,female,45,"2015-10-28 11:38:57+01","2015-10-28 11:48:03+01",91725,454786,91912,454739,0,69,SARPI,1,"2015-10-28 11:38:57","2015-10-28 11:48:03",11,38,28
54968,DR53579,4338,male,36,"2015-10-28 11:41:18+01","2015-10-28 11:44:55+01",92032,454515,91871,454499,0,27,"PORTA ROMANA",1,"2015-10-28 11:41:18","2015-10-28 11:44:55",11,41,28
54973,DR53579,4338,male,36,"2015-10-28 11:44:59+01","2015-10-28 11:47:14+01",91871,454499,91838,454494,0,5,VIGENTINA,1,"2015-10-28 11:44:59","2015-10-28 11:47:14",11,44,28
54976,ED06225,490,male,20,"2015-10-28 11:48:59+01","2015-10-28 12:10:50+01",91935,454621,92261,454678,0,1,DUOMO,1,"2015-10-28 11:48:59","2015-10-28 12:10:50",11,48,28
54978,DR53585,7209,male,18,"2015-10-28 11:50:10+01","2015-10-28 12:03:20+01",91383,454767,91635,454766,0,60,"S. SIRO",1,"2015-10-28 11:50:10","2015-10-28 12:03:20",11,50,28
54981,DR53550,359,male,28,"2015-10-28 11:59:40+01","2015-10-28 12:18:19+01",92030,454648,91772,454406,0,4,GUASTALLA,1,"2015-10-28 11:59:40","2015-10-28 12:18:19",11,59,28
54982,ED06245,3756,male,48,"2015-10-28 12:01:25+01","2015-10-28 12:22:38+01",91927,454666,91671,454643,0,1,DUOMO,1,"2015-10-28 12:01:25","2015-10-28 12:22:38",12,1,28
